Total time for 110 cycles: 57.184250354766846s
         97044616 function calls (96994616 primitive calls) in 57.918 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9848298   19.594    0.000   29.790    0.000 state.py:726(_expire)
      117    4.755    0.041   38.218    0.327 session.py:1126(_remove_snapshot)
 19783975    4.728    0.000    4.728    0.000 {method 'intersection' of 'frozenset' objects}
  9848791    3.803    0.000    3.803    0.000 {method 'update' of 'set' objects}
 10132540    3.594    0.000    3.594    0.000 state.py:568(dict)
  3392220    2.795    0.000    5.079    0.000 calculator.py:68(_safe_float)
        6    1.779    0.297    8.478    1.413 calculator.py:16(calculate)
 10025472    1.694    0.000    1.695    0.000 attr.py:383(__call__)
  3000030    1.109    0.000    1.109    0.000 {built-in method builtins.round}
   239508    1.017    0.000    1.017    0.000 state.py:201(__init__)
  1002694    0.689    0.000    1.974    0.000 attributes.py:539(__set__)
  1002694    0.634    0.000    1.285    0.000 attributes.py:1271(set)
  3393043    0.617    0.000    0.628    0.000 missing.py:184(_isna)
        1    0.580    0.580    0.580    0.580 {method 'executemany' of 'sqlite3.Cursor' objects}
  3393043    0.561    0.000    1.188    0.000 missing.py:101(isna)
   130584    0.542    0.000    0.564    0.000 mapper.py:4408(_event_on_init)
      355    0.539    0.002    0.827    0.002 result.py:549(_raw_all_rows)
    87618    0.426    0.000    0.435    0.000 compiler.py:1852(construct_params)
  2486535    0.390    0.000    0.393    0.000 attributes.py:555(__get__)
  1002694    0.354    0.000    0.424    0.000 state.py:890(_modified_event)
3213458/3212701    0.287    0.000    0.295    0.000 {built-in method builtins.getattr}
      355    0.255    0.001    0.255    0.001 {method 'fetchall' of 'sqlite3.Cursor' objects}
    87489    0.239    0.000    0.431    0.000 persistence.py:427(_collect_update_commands)
   130584    0.193    0.000    1.996    0.000 decl_base.py:2166(_declarative_constructor)
   131035    0.191    0.000    1.502    0.000 loading.py:1068(_instance)
1045055/1042565    0.189    0.000    0.298    0.000 {built-in method builtins.hasattr}
   130470    0.185    0.000    0.528    0.000 memory_cache.py:151(_insert_sorted)
   109040    0.182    0.000    0.182    0.000 loading.py:1329(_populate_full)
801297/801269    0.178    0.000    1.602    0.000 {built-in method builtins.setattr}
        6    0.171    0.029    3.894    0.649 memory_cache.py:169(bulk_upsert)
   130584    0.142    0.000    2.758    0.000 state.py:587(_initialize_instance)
   348421    0.137    0.000    0.220    0.000 memory_cache.py:20(_to_utc)
  1092430    0.134    0.000    0.134    0.000 attr.py:398(__bool__)
      117    0.131    0.001    0.131    0.001 identity.py:259(all_states)
   260952    0.129    0.000    0.129    0.000 datetimes.py:647(__iter__)
  1129944    0.122    0.000    0.126    0.000 {method 'get' of 'dict' objects}
      116    0.115    0.001    2.856    0.025 session.py:4350(_flush)
     1328    0.113    0.000    0.113    0.000 {built-in method marshal.loads}
   130584    0.111    0.000    0.239    0.000 instrumentation.py:528(_new_state_if_none)
    87276    0.106    0.000    0.111    0.000 base.py:1183(process)
      117    0.101    0.001    0.101    0.001 {method 'commit' of 'sqlite3.Connection' objects}
      116    0.088    0.001    0.428    0.004 session.py:3321(_register_persistent)
      229    0.087    0.000    0.181    0.001 state.py:1011(_commit_all_states)
    87151    0.083    0.000    0.083    0.000 {method 'replace' of 'datetime.datetime' objects}
