         1175473 function calls (1150916 primitive calls) in 0.819 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1247    0.095    0.000    0.095    0.000 {built-in method marshal.loads}
4229/4154    0.040    0.000    0.263    0.000 {built-in method builtins.__build_class__}
     1054    0.031    0.000    0.044    0.000 <frozen abc>:105(__new__)
     1247    0.028    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
   1805/1    0.026    0.000    0.822    0.822 {built-in method builtins.exec}
7638/7160    0.013    0.000    0.019    0.000 {built-in method __new__ of type object at 0x143b4b0}
124232/124213    0.012    0.000    0.013    0.000 {built-in method builtins.isinstance}
     1252    0.011    0.000    0.011    0.000 {method 'read' of '_io.BufferedReader' objects}
    68/67    0.011    0.000    0.013    0.000 {built-in method _imp.create_dynamic}
     1458    0.010    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
     5328    0.010    0.000    0.010    0.000 {built-in method posix.stat}
    68/44    0.009    0.000    0.049    0.001 {built-in method _imp.exec_dynamic}
     1247    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
     1713    0.008    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     1222    0.008    0.000    0.008    0.000 {built-in method builtins.compile}
44278/43779    0.007    0.000    0.012    0.000 {built-in method builtins.getattr}
     2903    0.007    0.000    0.021    0.000 <frozen importlib._bootstrap>:304(acquire)
      831    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
     1391    0.006    0.000    0.054    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     9744    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
  623/223    0.006    0.000    0.014    0.000 _parser.py:512(_parse)
     1247    0.005    0.000    0.167    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        2    0.005    0.003    0.005    0.003 {built-in method _ctypes.dlopen}
    45628    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     2997    0.005    0.000    0.020    0.000 typing.py:175(_type_check)
